,Name,Question,Answer
853,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,what is the validity of the products?,"Hello good morning, check information in the ad description! Att. DaniCosmetic Team thanks and awaits your purchase !!! 03/09/2020"
854,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,Good afternoon what's the expiration date?,Ol04 / 04/2020
855,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,Good afternoon what's the expiration date?,"Hello good afternoon, you have at least 1 year to win! Att DaniCosmetic Team thanks and awaits your purchase! 04/04/2020"
856,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,bom dia vc não consegue o óleo mamãe e bebê pra mim não????,"Thank you for your question, our service hours are Monday to Friday from 8:00 am to 6:00 pm, all our ads are for original items, sealed as per manufacturer and yes we have prompt delivery, to know all our items visit our e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, in this address you can find all our products. We do not create personalized ads, for Free Shipping increase the item quantity or include the items in the shopping cart that if you have the benefit there will appear. At Team DaniCosmetic29 / 02/2020"
857,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,good afternoon still have available ????,Sim disponível25/02/2020
858,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,Good afternoon!!! Do you have a shampoo and conditioner refill?,"Obrigado por sua pergunta, nosso horário de atendimento é de Segunda a Sexta das 08:00 as 18:00, todos os nossos anúncios são de itens originais, lacrados conforme fabricante e sim temos a pronta entrega, para conhecer todos os nossos itens acesse nosso e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, nesse endereço você encontra todos os nosso produtos. Não criamos anúncios personalizados, para frete Grátis aumente a quantidade do item ou inclua os itens no carrinho de compras que se você tiver o beneficio lá aparecerá. At Equipe DaniCosmetic06/10/2019"
859,Natura Mommy And Baby Vegetable Bar Soap - 5x100g Each,Quantos sabonetes vem na caixa?,522/09/2019
860,Natura Pure Soap Bar Vegetable Fennel 3un.,"Boa noite, poderia por favor fazer um link com os seguintes itens: 1. Renew 35 anos pote vermelho para noite 2. Refil loção natura avelã e cereja 3. Desodorante Rollon Erva doce 4. Kit sabonetes em barra erva doce Muito obrigada. Abs. Josy","Thank you for your question, our service hours are Monday to Friday from 8:00 am to 6:00 pm, all our ads are for original items, sealed as per manufacturer and yes we have prompt delivery, to know all our items visit our e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, in this address you can find all our products. We do not create personalized ads, for Free Shipping increase the item quantity or include the items in the shopping cart that if you have the benefit there will appear. The Crisis caused by the CoronaVirus Pandemic does NOT affect our shipments. We are dispatching normally! At DaniCosmetic Team01 / 06/2020"
861,Natura Pure Soap Bar Vegetable Fennel 3un.,Moro na Flórida vc envia ?,"Obrigado por sua pergunta, nosso horário de atendimento é de Segunda a Sexta das 08:00 as 18:00, todos os nossos anúncios são de itens originais, lacrados conforme fabricante e sim temos a pronta entrega, para conhecer todos os nossos itens acesse nosso e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, nesse endereço você encontra todos os nosso produtos. Não criamos anúncios personalizados, para frete Grátis aumente a quantidade do item ou inclua os itens no carrinho de compras que se você tiver o beneficio lá aparecerá. At Equipe DaniCosmetic28/02/2020"
862,Natura Pure Soap Bar Vegetable Fennel 3un.,Contains alcohol,No soap bar has alcohol! 22/05/2019
863,Protex Candy Soap Bar Kit 85g with 12 Un,"Good afternoon. Sorry for the question, but is the product original?",Bom dia. Agradecemos o contato. Nossos produtos são originais e com nota fiscal. Aproveite! Loja Operada por Sage’s04/09/2020
864,Lavender Vegan Soap. Natural Of Expresso Mata Atlân,Good Morning! Please have the activated carbon soap ??,"Please type in the search for Mercado Livre Expresso Mata Atlântica, which will find the product. Any questions we have available. Sincerely, Expresso Mata Atlântica.13 / 08/2020"
865,Lavender Vegan Soap. Natural Of Expresso Mata Atlân,Good night. Are used products extracted from the Atlantic Forest? Is it sustainable?,"Sustainable and environmentally friendly. 83% of the inputs used in the manufacture are of own production and 17% come from Amazonas. From the product to the packaging, everything manufactured in the middle of the second lung of Brazil. Our packaging is recycled and recyclable. Any questions we have at your disposal.11 / 05/2020"
866,Dove Original Soap 90g Kit 72 Units,"I tried to buy, but it's charging freight!",Olá Caro Cliente ! Devido ao peso será necessário pagar o frete Obrigada pela sua compra ou cotação... Em breve iremos responder todas as sua dúvidas.31/07/2020
867,Dove Original Soap 90g Kit 72 Units,Put free shipping,Hello Dear Customer! Already with free shipping24 / 07/2020
868,Dove Original Soap 90g Kit 72 Units,do you have it too? and food products like tomato sauce ???,"Hello Dear Customer! At the moment we do not have, Any questions are available 06/06/20"
869,Dove Original Soap 90g Kit 72 Units,but will arrive tomorrow as in the announcement ????,"Hello Dear Customer! Your order will be sent on Monday, Any questions we are available Thank you for your purchase or quotation ... Soon we will answer all your questions.06 / 06/2020"
870,Dove Original Soap 90g Kit 72 Units,"I just bought and paid the purchase slip, where do I send the payment receipt?","Hello Dear Customer! the order must be approved within 3 working days with automatic approval, not the need to send proof. Any questions we are available.05 / 06/2020"
871,Dove Original Soap 90g Kit 72 Units,Because until yesterday there is no charge for shipping and today that I want to buy in one parcel only shipping,good morning..no announcement is free shipping ... thanks !! 26/03/2020
872,Kit 10 Soap Natural Suavetex With Turmeric Extract 80g,Ola posso saber o vencimento desse sabonete?,"Olá, boa tarde, tudo bem? Validade de 2 anos. Se puder ajudar em algo mais pode ficar a vontade. Veja todos nosso produtos neste link - https://lista.mercadolivre.com.br/_CustId_7810851206/11/2019"
873,Loccitane - Sabonete Karité Lavanda 100g,how many soap comes in this 100g?,Uma unidade!20/08/2020
874,Loccitane - Sabonete Karité Lavanda 100g,Good afternoon friend. If you make the purchase now can you post today?,"Se comprar agora, posto sim.07/05/2020"
875,Natura Mama Baby Vegetable Soap 100g,Good Morning! Does the soap dish come with it?,"Hello good afternoon, yes follows a soap and a soap dish! Att DaniCosmetic Team thanks and awaits your purchase! 07/09/2020"
876,Natura Mama Baby Vegetable Soap 100g,Boa tarde para mim esta aparecendo frete grátis....mais quero a entrega Full se eu fechar a compra hoje chega hoje?,"Olá boa tarde, então seria entrega Flex, pois não temos entrega full! Compras aprovadas antes da 13:00 seguem no mesmo dia! Att. Equipe DaniCosmetic agradece e aguarda sua compra!!!03/09/2020"
877,Natura Mama Baby Vegetable Soap 100g,Olá Boa tarde Os sabonetes são acompanhadas pela saboneteira?,"Hello good afternoon, yes follows 1 soap and 1 soap dish! Att DaniCosmetic Team thanks and awaits your purchase! 05/25/2020"
878,Natura Mama Baby Vegetable Soap 100g,What is the cost of shipping to CEP 19907-450 Ourinhos - SP,"Thank you for your question, our service hours are Monday to Friday from 8:00 am to 6:00 pm, all our ads are for original items, sealed as per manufacturer and yes we have prompt delivery, to know all our items visit our e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, in this address you can find all our products. We do not create personalized ads, for Free Shipping increase the item quantity or include the items in the shopping cart that if you have the benefit there will appear. The Crisis caused by the CoronaVirus Pandemic does NOT affect our shipments. We are dispatching normally! At Team DaniCosmetic23 / 05/2020"
879,Natura Mama Baby Vegetable Soap 100g,Vem o sabonete e a saboneteira?,"Hello good afternoon, yes follows 1 soap and 1 soap dish! Att DaniCosmetic Team thanks and awaits your purchase! 22/05/2020"
880,Natura Mama Baby Vegetable Soap 100g,Vem a saboneteira junto ?,"Thank you for your question, our service hours are Monday to Friday from 8:00 am to 6:00 pm, all our ads are for original items, sealed as per manufacturer and yes we have prompt delivery, to know all our items visit our e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, in this address you can find all our products. We do not create personalized ads, for Free Shipping increase the item quantity or include the items in the shopping cart that if you have the benefit there will appear. The Crisis caused by the CoronaVirus Pandemic does NOT affect our shipments. We are dispatching normally! At Team DaniCosmetic19 / 05/2020"
881,Natura Mama Baby Vegetable Soap 100g,hello good night ta delivering normal?,"Obrigado por sua pergunta, nosso horário de atendimento é de Segunda a Sexta das 08:00 as 18:00, todos os nossos anúncios são de itens originais, lacrados conforme fabricante e sim temos a pronta entrega, para conhecer todos os nossos itens acesse nosso e-shop - https://eshops.mercadolivre.com.br/DANICOSMETIC, nesse endereço você encontra todos os nosso produtos. Não criamos anúncios personalizados, para frete Grátis aumente a quantidade do item ou inclua os itens no carrinho de compras que se você tiver o beneficio lá aparecerá. A Crise causada pela Pandemia do CoronaVírus NÂO afeta nossos envios. Estamos despachando normalmente! At Equipe DaniCosmetic09/05/2020"
882,Natura Mama Baby Vegetable Soap 100g,¿,"Hello good afternoon, we can help !! Att DaniCosmetic Team thanks !! 04/30/2020"
883,Natura Mama Baby Vegetable Soap 100g,Ok if I make the purchase today have fast shipping?,Next business day!
884,Natura Mama Baby Vegetable Soap 100g,Boa tarde ainda tem a saboneteira disponível?,Yes this item is 1 soap with 1 soap dish!
885,Kit 6 Soap Natural Suavetex With Turmeric Extract 80g,"Because the market n allows you to put the zip code in the comments, ignore the letters and dots and look at the numbers","Olá, boa tarde, tudo bem? Tenta por esses links: ( https://produto.mercadolivre.com.br/MLB-1517595669-kit-6-sabonete-em-barra-suavetex-natural-curcuma-80g-_JM?quantity=1 ) ( https://produto.mercadolivre.com.br/MLB-1107831095-kit-3-mega-3-oleo-de-peixe-dha-epa-120-caps-1200mg-unilife-_JM?quantity=1 ) ( https://produto.mercadolivre.com.br/MLB-1384395260-cloreto-de-magnesio-pa-120-caps-meissen-original-_JM?quantity=1 )08/05/2020"
886,Kit 6 Soap Natural Suavetex With Turmeric Extract 80g,A. 35.b.c 1.6a.2.8.b.3.c.1,"Olá, bom dia, tudo bem? Esse numero esta incorreto.08/05/2020"
887,Kit 6 Soap Natural Suavetex With Turmeric Extract 80g,"The products are: 2kits of 6 units of narural soap with turmeric extract, 1 kit of 3 omega 3 with 120 cps and 1 magnesium chloride for 120 cps. Ta giving R $ 200.59, I wanted to see how I can get free shipping. Thanks",Can you give me your zip code to check if free shipping is available for your region? 07/05/2020
888,Kit 6 Soap Natural Suavetex With Turmeric Extract 80g,"Hello good morning, my cart is giving 155 reais only for your products. However when I complete the purchase it is not free shipping. How do I do? Thanks",Hello good afternoon all right? What are the products? 06/05/2020
889,Melaleuca Soap 100g Phytotherapic,"Vou tentar novamente , mais qdo chega na tela de finalizar pagamento, diz o valor restante para 50 reais e nao consegui concluir a compra mais irei tentar outra vez.",tudo bem! estamos a disposição!29/09/2020
890,Melaleuca Soap 100g Phytotherapic,"Yes. I saw it on the internet, but there is only one available, I need 2 units and the website says that there are no 2 available.","Okay, I consulted with the responsible area and they informed me that the Phytoterápica changed the fragrance of Andiroba to Sesame ... Really that of Andiroba will not have more.29 / 09/2020"
891,Melaleuca Soap 100g Phytotherapic,"E lan tem limite de valor ne, so precisava dos sabonetes","não tem não! Na verdade se for sua primeira compra, tem desconto de 10% com o código ""bemvindo"".29/09/2020"
892,Melaleuca Soap 100g Phytotherapic,Do you have him? They deleted your answer,"Yes, we do, on the site: Magna Vita29 / 09/2020"
893,Melaleuca Soap 100g Phytotherapic,Ou sabe me dizer se a entrega e prioritaria? Ou pelos correios?,Pedidos feito pelo mercado livre fica por conta do próprio mercado livre a entrega.28/09/2020
894,Melaleuca Soap 100g Phytotherapic,"Ola amigo, onde se localiza sua loja para retirada pessoalmente?","Hello, stay at R. 24 de Maio, 77 - 11 - República, São Paulo - SP28 / 09/2020"
895,Melaleuca Soap 100g Phytotherapic,I've already found it. Do you have cocoa butter? Or mango butter?,Infelizmente só temos esses produtos em loja física :/22/07/2020
896,Melaleuca Soap 100g Phytotherapic,Tem gel de babosa? Vou ganhar um brinde?,"We have https://produto.mercadolivre.com.br/MLB-1408346026-extrato-de-aloe-vera-210ml-phytoterapica-_JM?quantity=1&variation=49309421607 You get a free gift, we always send treats to our customers! :) 07/22/2020"
897,Melaleuca Soap 100g Phytotherapic,Do you have essential oil of marjoram phitoterapica?,Olá! Temos sim https://produto.mercadolivre.com.br/MLB-1604210845-oleo-essencial-de-manjerona-5ml-phytoterapica-_JM22/07/2020
898,Melaleuca Soap 100g Phytotherapic,Não encontrei o sabonete de lavanda.,Try searching like this: Lavender and Buriti Soap 100g Phytotherapic22 / 07/2020
899,Kit 24 Francis Soap 90g Bath Hygiene Promotion Wholesale,90g or 85g?,"Bom dia, a nova embalagem mudou para 85g. Att Atacado02/09/2020"
900,Kit 24 Francis Soap 90g Bath Hygiene Promotion Wholesale,Tem o lavanda,"Boa tarde, lavanda não temos. Att OLS Atacado18/08/2020"
901,Kit 24 Francis Soap 90g Bath Hygiene Promotion Wholesale,Oi pq tão caro o frete p 01153000?,"Boa tarde, o valor do frete é calculado automaticamente pelo site conforme cada região e distância. Att OLS AtacadoOpções de envio:Normal: Chegará entre os dias 29 jul. e 3 ago. R$ 19.9026/07/2020"
902,Kit 24 Francis Soap 90g Bath Hygiene Promotion Wholesale,Boa tarde quais as fragrâncias?,"Boa noite, temos disponível a pronta entrega a fragrância Aromachologie lírio, aguardamos sua compra. Att OLS Atacado08/05/2020"
903,Kit 24 Francis Soap 90g Bath Hygiene Promotion Wholesale,É até compreensivo n poder dar desconto... mas dizer q está no preco d atacado tb não né? rs Obrigada!,"We are available, we have other kits with larger quantity. Att OLS Wholesale11 / 04/2020"
904,Kit 24 Francis Soap 90g Bath Hygiene Promotion Wholesale,Qto vc faz em 2cx fechadas?,"Good afternoon, yes you can put two kits in quantity and we ship together in the same order, the value is already at minimum, it is with wholesale price, and we are working with reduced margin, we are waiting for your purchase. Att OLS Wholesale11 / 04/2020"
905,Kit 2000 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,Good morning I need 6 thousand soap And 6 thousand shampoo And 6 thousand creams How much does my logo do to send 11.680-000,"Good morning, we only have the standard models, each size available in the respective fragrance, for example, floral (10g) fennel (13g), Brazil nut (15g). Prices are over the limit due to the high dollar value, and we do not customize. I will be available! 30/09/2020"
906,Kit 2000 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,Do you have dental hygiene kit only brush and toothpaste?,"Good morning, follow the link with the kit: https://produto.mercadolivre.com.br/MLB-1215047795-kit-500-escova-de-dente-descartavel-e-creme-dental-4gr-hotel-_JM22/ 09/2020"
907,Kit 2000 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,good night you have 10 gr and what is the value of 2000 units,"Good morning, follow the link with 2000 soaps of 10 grams: https://produto.mercadolivre.com.br/MLB-1564674461-kit-sabonete-10-gr-hotel-motel-pousada-floral-barato-_JM21/09 / 2020"
908,Kit 2000 Mini Soap 13 Gr Hotel Motel Pousada Erva Doce,A embalagem pode ser personalizada?,Boa tarde! Trabalhamos somente com embalagem padrão. Seguimos à disposição;13/05/2020
909,Actine Darrow Bar Soap Acneic Skin - 80g,Bom Dia.. Validade pra Quando? Tenho interesse,Good morning! 06/21 Att.10 / 09/2020
910,Natura Flor De Lis Soap Box w / 05 Units 90g Each,has flor de lis refill 400 ml? and cream and cotton refill 400ml?,https://produto.mercadolivre.com.br/MLB-1213566367-natura-hidratante-algodao-corporal-tododia-400ml-_JM?quantity=1&variation=6357947467808/09/2020
911,Natura Flor De Lis Soap Box w / 05 Units 90g Each,has flor de lis refill 400 ml? and cream and cotton refill 400ml?,"Boa tarde. Flor de lis Hidratante nao tenho no momento. O Refil de Algodao eu tenho, segue o link https://produto.mercadolivre.com.br/MLB-1213566367-natura-hidratante-algodao-corporal-tododia-400ml-_JM?quantity=1&variation=6357947467808/09/2020"
912,Nesti Dante Lavender Officinal Scented Soap 150g,Vc tem 2 The purest !?,"Unfortunately it is not available in our stocks. The replacement forecast is only in July. Be sure to follow our page. We remain at your disposal, BeautyList service team19 / 06/2020"
913,Soap From The Coast Handmade African Soap- 2 Units,Was it you I was talking about now about my shopping cart here?,n Austria 16/05/2020
914,Soap From The Coast Handmade African Soap- 2 Units,"Hi, I don't go to any religion, but I saw that this soap is for unloading. Can I buy to bathe with him? Saying a prayer?",yes it can without problems15 / 05/2020
915,Soap From The Coast Handmade African Soap- 2 Units,"Hello, is this soap original?",Handmade soap. Read the description19 / 06/2019
916,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),what color is the packaging?,"New packaging,. Att.07 / 09/2020"
917,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),qual a validade ? e a cor da embalagem ? é a nova ou antiga ?,Good Morning! 05/21 New packaging. Att.; 03/09/2020
918,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),"good night, the packaging q is in the announcement is the real one? is the bar soap? is the hypoallergenic? is the packaging white? I had problems buying this brand and see another blue color package. Is shipping free?","Bom dia! Nova embalagem. Sim, frete gratis Att.25/08/2020"
919,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),It's the bar soap,Hi ! Soap Unfortunately we don't have it. We await your request. Thank you for your understanding.
920,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),Do you have marigold? Value?,"Olá, sabonete ?24/07/2020"
921,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),what is the validity?,"Hello good day! Expiration date for month 03 of 2021. We are waiting for your order, thanks06 / 07/2020"
922,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),Do you have several scents of soap?,Olá! so temos este tipo do anuncio.01/07/2020
923,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),Good night! Do you have boxes of 30 honey or almond soaps?,Bom dia! Não temos. Att25/06/2020
924,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),"I would like to know if it is possible to include 1 more soap, totaling 31 units, so that there will be no freight pagt",Bom dia! Não é possível. Att.25/06/2020
925,Granado Vegetable Glycerin Soap 90g (Box Of 30 Pcts),product validity please,06/202119/06/2020
926,Palmolive Secret Soap Bar Pitaya 90g,Is that the price of a soap or kit?,"Hello ALCR3427478, how are you? This value refers to only one unit. Hurry to take advantage of our offer before it runs out, we look forward to your purchase. In case of new doubts we are at your disposal. =) 7/1/2020"
927,Palmolive Secret Soap Bar Pitaya 90g,Is that the price of a soap or kit?,"Hello ALCR3427478, how are you? This value refers to only one unit. Hurry to take advantage of our offer before it runs out, we look forward to your purchase. In case of new doubts we are at your disposal. =) 7/1/2020"
928,Eudora Antiacne Soap Neo Essens - Bar 80g.,Don't have the option to put it in the cart?,"Some products on the open market do not allow inclusion in the cart, but we have no control over it."
929,Eudora Antiacne Soap Neo Essens - Bar 80g.,"hi, is it exfoliating? nice from now on","Good afternoon. It has no exfoliating assets, the unclogging of pores and asepsis is carried out by the Triaction A complex and salicylic acid that cleans the area affected by acne.02 / 10/2018"
930,Eudora Antiacne Soap Neo Essens - Bar 80g.,"hello, with moisturizer? thankful right now",Good afternoon. I have the Antiacne Facial Moisturizing Soap kit and sunscreen at the attached link. https://produto.mercadolivre.com.br/MLB-861384868-sabonete-antiacne-neo-essens-fluido-hidrizante-fps15-_JM24/09/2018
931,Eudora Antiacne Soap Neo Essens - Bar 80g.,I need six,Good afternoon. Sorry for the delay in responding. I have already updated the quantity of items in the ad and just make the purchase that I send to you.
932,Eudora Antiacne Soap Neo Essens - Bar 80g.,Do you have a forecast for when more arrives and there will be more inventory?,Good afternoon. I have several units in stock. How many do you need?
933,Eudora Antiacne Soap Neo Essens - Bar 80g.,"Could you put together an ad with astringent lotion, liquid soap and bar soap? All of that line please!","Boa tarde. Desculpe a demora em montar seu anúncio. Criei um anúncio personalizado para você. Por gentileza verifique na descrição do anúncio a relação de produtos, condições e valores. Se estiver de acordo basta efetuar a compra que envio para você. Segue o link do seu anúncio em anexo. Obrigado. https://produto.mercadolivre.com.br/MLB-954124447-pedido-jssicafernandacostadeolive-soul-beauty-eudora-_JM26/12/2017"
934,Phebo Soap 90gr / Kit With 12 Units,would you like to understand how many kit comes with 12 soaps?,Good afternoon We have no thanks27 / 09/2020
935,Phebo Soap 90gr / Kit With 12 Units,Do you have blue soap?,Good night Yes we have 16/09/2020
936,Phebo Soap 90gr / Kit With 12 Units,Hello can I choose different fragrances?,Boa noite Sim pode08/09/2020
937,Phebo Soap 90gr / Kit With 12 Units,"Hello I made the request, I would like it to be 12 of lime of Persia and 12 Freshness of the Morning (blue). Can be ?",Good afternoon Yes you can Thanks08 / 09/2020
938,Phebo Soap 90gr / Kit With 12 Units,"Good afternoon, would you like 6 lavender and 6 lime from Persia can be? Thankful!",Good morning Yes you can Thank you
939,Phebo Soap 90gr / Kit With 12 Units,"Buying 2 kits of 12, please like to receive 18 persian lime soaps and 6 patchouli, is it possible?",Bom dia Sim é possível Após a compra pedir as fragrâncias desejadas. Obrigado31/08/2020
940,Phebo Soap 90gr / Kit With 12 Units,Olá tem como vir um de cada no kit?,Good night Yes But some will have to repeat12 / 08/2020
941,Phebo Soap 90gr / Kit With 12 Units,"Boa tarde! Poderia ser somente da cor Azul, o ""frescor da manhã""?",Good afternoon Yes may 10/08/2020
942,Phebo Soap 90gr / Kit With 12 Units,There are twelve pfebo soaps for 59.90. How much does each one leave ???,"Thank you for the contact. That's right, the unit value comes to R $ 4.99. Att., Armarinhos Líder.22 / 06/2020"
943,Phebo Soap 90gr / Kit With 12 Units,Oiii can vary if I buy can you send one of each please buddy?,Boa noite Mandaremos sortidos sim Obrigado31/05/2020
944,Kit with 12 Phebo Soap Units 90g,É o original?,"Yes, original with invoice06 / 08/2020"
945,Kit with 12 Phebo Soap Units 90g,"Hello, do you happen to have the Senador soap, the one in the box? Thank you.","Hello, currently not 03/06/2019"
946,Kit with 12 Phebo Soap Units 90g,You have package with 12 units of Sicilian lemon,"Olá, no momento não temos!28/05/2020"
947,Kit with 12 Phebo Soap Units 90g,is that black?,Sim16/02/2020
948,Kit with 12 Phebo Soap Units 90g,Vc tem sabonete dove tbm? Se tiver me manda por favor o link para eu comprar os 2 juntos,Good Morning! At the moment we don't have dove.10 / 02/2020
949,Kit with 12 Phebo Soap Units 90g,Bom dia. O sabonete é do tamanho ladrão?,"Good afternoon! Yes, 90g each09 / 02/2020"
950,Kit with 12 Phebo Soap Units 90g,"VC PODE ME PASSAR A MEDIDA DO SABONETE, LARGURA E ALTURA PRA EU VER SE CABE NA MINHA CAIXA?","BOA TARDE!! APROXIMADAMENTE 2,5CM DE ALTURA E DIÂMETRO DE APROXIMADAMENTE 6,5CM22/11/2018"
951,Kit with 12 Phebo Soap Units 90g,Good night! Still have it available? What is the expiration date?,"Olá, boa noite!!Produto disponível. Validade 04/202019/11/2017"
952,Kit Com 12 Unid Sabonete Phebo 90g,Is it the original?,"Yes, original with invoice06 / 08/2020"
953,Kit Com 12 Unid Sabonete Phebo 90g,"Olá, por acaso vc tem o sabonete Senador, aquele da caixinha ? Obrigado.","Olá, no momento não03/06/2020"
954,Kit Com 12 Unid Sabonete Phebo 90g,Voce tem pacote com 12 unidade do limao ceciliano,"Hello, at the moment we don't have it!"
955,Kit Com 12 Unid Sabonete Phebo 90g,is that black?,Sim16 / 02/2020
956,Kit Com 12 Unid Sabonete Phebo 90g,Vc tem sabonete dove tbm? Se tiver me manda por favor o link para eu comprar os 2 juntos,Bom dia! No momento não temos o dove.10/02/2020
957,Kit Com 12 Unid Sabonete Phebo 90g,Good Morning. Is the soap the size of a thief?,"Boa tarde! Sim, 90g cada09/02/2020"
958,Kit Com 12 Unid Sabonete Phebo 90g,"CAN YOU GIVE ME THE MEASURE OF THE SOAP, WIDTH AND HEIGHT TO SEE IF IT FITS IN MY BOX?",GOOD AFTERNOON!! APPROXIMATELY 2.5CM HEIGHT AND APPROXIMATELY 6.5CM DIAMETER22 / 11/2018
959,Kit Com 12 Unid Sabonete Phebo 90g,Boa noite! Ainda tem disponível? Qual a data de validade?,"Olá, boa noite!!Produto disponível. Validade 04/202019/11/2017"
960,100% Natural Soap And Sweet Orange Vegan And Chamomile,"So vim elogiar. Estou encantada com a forma q vcs respondem aos clientes. Não comprei com vcs ainda, mas a comunicação de vcs me passou muita segurança na qualidade. Parabéns","Hello good day!!! Dear, we and who appreciate the affection, here we try to provide well-being to others, developing natural products with great care, well in the context less is more, sometimes just guiding what to think before doing and of course, finally, we are beings we believe that passing on respect, affection, gratitude always makes a better world to live with, for example we do not use plastic products in packaging, when we pack products for shipping, we use them to reinforce cardboard boxes, shredded papers, magazines that have already done their part of taking information (sometimes disinformation lol) so that they continue to lead to more quality of life in humans and so on, we are not ...
9/19/2020"
961,100% Natural Soap And Sweet Orange Vegan And Chamomile,I weighed the orange soap with chamomile. has 120 gr. positive!,"Ola boa tarde. Ufa ficamos felizes pois como já havia passado para a diretoria eles estão repensando o procedimento de corte e pesagem, de qualquer forma agradecemos realmenre suas colocações pois e assim que se cresce entendendo as críticas e seguindo em frente juntos. Tenha um ótimo domingo e uma semana melhor atenciosamente Insitta23/08/2020"
962,100% Natural Soap And Sweet Orange Vegan And Chamomile,for the size received it is not 130 g I will weigh it!,"Olá boa tarde novamente, conforme mensagem anterior adotamos todos os procedimentos possíveis, mas é claro que pode ocorrer falhas, porém todos os nossos sabonetes tem o mesmo padrão de no mínimo 120g e não 130g alias nunca anunciamos ou comercializamos nenhum sabonete com 130g, mas a Sra. havia comentado que pesaria o produto, chegou a pesar? A sua opinião e satisfação como nossos produtos é muito importante para nos, levamos muito a sério todos as criticas, sugestões, opiniões de nossos clientes todos sem exceção são analisadas inclusive por nossa diretoria, ao qual acompanha até o pós venda, portanto Sra. Teka, já que ficou insatisfeita ou com alguma desconfiança, na segunda iremos lhe enviar um novo produto por nossa conta pois sua opin...Ver mais
22/08/2020"
963,100% Natural Soap And Sweet Orange Vegan And Chamomile,120 gr. I'm going to weigh it here at home.,"Dear Ms. Teka, we saw that you received your purchase yesterday, we are happy. Our products are weighed right after cutting and in the case of soaps they must weigh at least 120g. And of course, as the process and artisan may have failed and if it is, we will send a new product and of course without any cost, as we strive for quality even after sales, when we weigh, position us so that we can further improve our line of products. production and quality. Best regards Insitta20 / 08/2020"
964,100% Natural Soap And Sweet Orange Vegan And Chamomile,Qual a composição dos produto?,"Olá, bom dia!!! Obrigada por sua consulta. vamos lá. A composição: óleo de babaçu, glicerina vegetal, álcool de cereais, sorbitol, sacarose, água, óleo essencial de laranja doce, óleo essencial de mandarine, óleo de amêndoas e extrato glicerinado de camomila. Obrigada e tenha um excelente final de semana.03/07/2020"
965,Giorno Bagno Verbena And Sandalwood Bar Soap 180g,Because the sky costs 29 reais and in the market here on the corner of earthworms it costs 12 reais,"Hello, feel free to buy the cheapest, thanks26 / 06/2020"
966,Giorno Bagno Verbena And Sandalwood Bar Soap 180g,Mais seu barriga onde diabos vc tirou um valor desse de 30 reais amigo q viajem e essa,Look we paid commotion and taxes.
967,Giorno Bagno Verbena And Sandalwood Bar Soap 180g,42.80 with shipping to buy 3 here friend your value can only be wrong right,Olá o frete e cálculo do mercado livre. Obrigada25/06/2020
968,Kit 6 Sabonete Suavetex Natural Particulas Carvão Ativo 80gr,ola este sabonete é para o rosto?,"Olá, bom dia, tudo bem? O sabonete de carvão ativado da Suavetex pode ser usado no rosto para reduzir acnes e manchas. Mas sua utilização não é restrita a face, ele pode ser utilizado em todo corpo. Se puder ajudar em algo mais pode ficar a vontade. Veja todos nosso produtos neste link - https://lista.mercadolivre.com.br/_CustId_7810851203/09/2020"
969,Kit 6 Sabonete Suavetex Natural Particulas Carvão Ativo 80gr,qual ph do sabonete?,"Hello, good morning. How are you? The manufacturer does not report anything about the ph. If you can help with anything else you can feel free. See all our products in this link - https://lista.mercadolivre.com.br/_CustId_7810851224/08/2020"
970,Sabonete Dove Original 90g Kit 72 Unidades,"I tried to buy, but it's charging freight!",Hello Dear Customer! Due to the weight it will be necessary to pay the freight Thank you for your purchase or quotation ... Soon we will answer all your questions.31 / 07/2020
971,Sabonete Dove Original 90g Kit 72 Unidades,Coloca frete grátis,Hello Dear Customer! Already with free shipping24 / 07/2020
