,name,price,Brand,Line,Unit weight,Model,description,store_name,new_or_not,sold_number,Units per package,review_rating
344,Granado Glicerina Brasileiras - Bar Soap 6x 90ml Blz,29.9,Pomegranate,,,Granado Glicerina Frutas Brasileiras - Sabonete em Barra 6x90ml,"description
Kit with 6 glycerin bar soaps. With a formula based on plant extracts, Granado Glicerina Frutas Brasileiras is perfect for daily cleaning of all skin types. This charming set has a moisturizing action, which keeps the skin's moisture balanced. The soaps in the Granado Glicerina Frutas Brasileiras kit have fragrances typical of the Brazilian territory, namely guaraná, açaí, acerola, cupuaçu, pitanga and chestnut. They are involved in two fair networks, which makes the kit cute and fun!",Beauty on the Web,New,61.0,,
345,Exclusive In Black Creamy Vegetable Soap 2x90g,12.99,,,90 g,,"description
You are buying: 1 AVON EXCLUSIVE IN BLACK CREAMY VEGETABLE SOAP WITH 2 UNITS OF 90g EACH
Valid: 11/2021
 
About the product:
Exclusive in Black soaps bring the elegant aroma of the exclusive black vetiver chord, the perfect ingredient to make it unforgettable.
Contains 2 soaps with 90g each.
 
New Product | Original | Sealed | In Stock
Posts are made within a maximum of 48 hours after approval of purchase
Use the question field to answer your questions
 
Your purchase is protected by Mercado Pago
Guaranteed delivery by Mercado Envios
 
Total security and peace of mind for your purchase. Best service ever!
 
We do not exchange open or unbundled products.",Localização,New,9.0,,
346,Protex Candy Soap Bar Kit 85g with 12 Un,36.18,Protex,Fennel,,,"description
Protex Fennel Bar Soap Kit 85g with 12 units Protex Fennel contains fennel extracts, offering you and your whole family a naturally healthy, protected and perfumed skin. For the good health of your skin Eliminates 99.9% of bacteria Exclusive formula with balanced pH, helps to clean and remove impurities from the skin Creates a protective barrier that helps prevent the proliferation of bacteria",Protex,New,16.0,,
347,Sabonete Dei Colli Fiorentini Cipreste Nesti Dante 250g,39.9,Nesti Dante,,,,"description
Dei Colli Fiorentini by Nesti Dante was made with aromas of special flowers, harvested in the Florentine hills. Offers well-being and comfort for body and mind. It has the majestic and evergreen cypress with its fragrance of fresh pine that regenerates the mind and body. Nesti Dante products meet international quality requirements and standards, Free of synthetic surfactants, petrochemicals, sulfates, parabens, glycols and mineral oil that are responsible for allergies, skin, hair and eye irritations. In addition, it is also a “VEGAN FRIENDLY” product (VEGAN FRIEND) not tested on animals.",Location,New,39.0,1,
348,Kit 10 Sabonete Suavetex Natural Com Extrato De Cúrcuma 80g,82.43,Suavetex,Curcuma,,,"description
*** PLEASE NOTE: Want FREE SHIPPING ??!?!?!? ***

Add Products from our store in the cart to have this benefit on purchases over 120.00

<< Click ""See all ads"" under ""More ads from this seller"" >>

 

Kit 10 Soap Natural Suavetex With Turmeric Extract 80g

The Natural Suavetex vegetable soap with organic turmeric extract is free of dyes and preservatives and guarantees a healthier, smoother and silky skin.

Turmeric is one of nature's most beneficial substances for human health. Its benefits for the skin are diverse, among them, highlighting its high power of revitalization. Helps to combat stretch marks, wrinkles, expression marks and signs of aging. Thanks to its regenerative power, it is also indicated to hydrate areas more susceptible to dryness, such as elbows, heels and knees. Renews skin cells and helps in the treatment of acne, due to its antiseptic and antibacterial properties. It helps to clean acne scars and other inflammations.

Ingredients:

Vegetable Base Pasta (Sodium Palmate, Sodium Palm Kernelate, Sodium Stearate, Sodium Chloride, Glycerin, Sodium Hydroxide, Etidronic Acid, Aqua), Parfum. Organic Ingredient: Curcuma Longa (Turmeric) Callus Extract (Turmeric Extract).

Property:

- Does not dry out the skin;

- It has 100% vegetable based pasta;

- No alcohol;

- Without sulfates;

- Without parabens;

- Without chemical preservatives;

- No artificial colors;

- No animal testing
 

How to use:

Apply to wet skin using circular motions. Then rinse. Can be used daily.



______________________________________________________________

We are Distributors of several brands of Excellence and Quality!

We have 100% Positive Feedback, your purchase is Secure!

WE DELIVER THROUGHOUT BRAZIL WITH IMMEDIATE SHIPPING BY MAIL!

PRODUCTS WITH INVOICE AND PROCEDURE !!!",Localização,Novo,37.0,10,5.0
349,"Cuide-se Bem Sabonete Em Barra Beijinho, 2 Unidades De 80 G",10.4,,,80 g,,"description
Meet the new line Take care of yourself Beijinho. A real affection for your skin! When in contact with damp skin, the Cuide-se Bem Beijinho Soap Bar creates a creamy foam that cleans without drying the skin. Its floral fragrance is surprising and irresistible, making bathing even more special. There are two units of bar soap for you to feel all the benefits on your skin. Ensures a smooth and perfumed skin already in the bath! Contains: 2 units of 80g each",The boticario,Novo,24.0,,
350,Granado Tratamento Coco - Sabonete Em Barra 100g Blz,6.9,Granado,Coco,100 g,0,"description
Bar soap for mixed and oily skin. Granado Treatment Soap Coconut gently cleanses with its 100% vegetable composition. With astringent action, it controls excessive oiliness Granado Treatment Soap Coco is humectant and emollient, providing revitalization, softness and silky touch. You guarantee cleanliness and health in your day to day!",Beauty on the Web,New,321.0,,5.0
351,Johnson's Daily Care Bar Soap Fennel 80g,1.83,,,,,"Descrição
O Sabonete Glicerinado JOHNSON'S® Baby possui uma fórmula que combina a glicerina, um ingredientes com propriedades hidratantes, com mel natural e vitamina E. Fórmula dermatologicamente testada para cuidado e proteção que a pele do seu bebê merece. - Sabonete Glicerinado; - Ingredientes com propriedades hidratantes; - Com mel natural e vitamina E; - Fórmula dermatologicamente testada.",Johnson & Johnson by Sage's,Novo,8.0,,
352,Moisturizing Soap Bar I Wish Jequiti 4x90 G,14.9,,,,,"Descrição
Sabonete Hidratante em Barra Eu Desejo
O Sabonete Hidratante em Barra Eu Desejo forma uma espuma cremosa que deixará sua pele limpinha e perfumada com a exótica fragrância das frutas vermelhas.  
Satisfaça todos os seus desejos. E nunca se esqueça – Ame sua beleza ¿
USE E SATISFAÇA SEUS DESEJOS: Durante o banho, massageie o sabonete em barra pelo corpo, exceto no rosto, até formar uma espuma cremosa. Depois é só enxaguar. Pronto! Pele limpinha e super cheirosa
Código: 10727",Jequiti,New,18.0,4,5.0
353,African Soap Lard Pure With 7 Herbs Umbanda 12un,38.9,PALMARES,,,,"description
JTA ARTS EQUILIBRIUM AND WELL-BEING

PRODUCT: African Lard Pure Soap With 7 Herbs Umbanda 12un",Localização,Novo,37.0,,
354,Propolis Organic Vegetable Soap 100g Reserva Folio,23.1,Reserve Folio,Natural Vegetable Soap,100 g,Natural Vegetable Soap,"description
Product Features - Organic
Skin Types - Mixed Skin
descricaoml - Description
The Organic Propolis Vegetable Soap from Reserva Folio is 100% vegetable. Handcrafted with propolis extract, a powerful bactericide, anti-inflammatory and skin healer. This soap restores the shine, smoothness, hydration and nutrition of the skin.

Characteristics
• 100% Natural and Organic Product certified by IBD
• Has antioxidant, anti-inflammatory and healing properties
• Has a balanced pH
• Ensures smooth, uniform and spotless skin


Indications
The Organic Propolis Vegetable Soap from Reserva Folio is indicated for oily skin, with acne, spots, blackheads or seborrhea.

Ingredients
Composition: Sodium Babassuate *, Sodium Palmitate *, Sodium Soyate *, Alcohol *, Sucrose *, Glycerin, Aqua, Fragrance, Propolis Extract * (Propolis Extract).

With 82% of tracked organic inputs.
Green: * IBD Certified Organic Products
Black: Certified Natural Products

Formula free of: parabens, synthetic dyes, artificial fragrances, ingredients derived from petroleum and ingredients of animal origin. It is not tested on animals.

How to use
Apply the organic vegetable soap Propolis from Reserva Folio over wet skin using circular motions. Then rinse. Can be used daily.

Precautions If irritation discontinue use, do not use under injured skin. In case of accidental contact with eyes, rinse with plenty of water. KEEP OUT OF THE REACH OF CHILDREN. Store in a cool place. External use. Do not ingest.

#useorganic",Location,New,35.0,,5.0
355,Natura Avela Cherry Soap 03 Boxes w / 05 Units 90g Cd,49.99,Nature,Tododia,,,"description
VALIDITY UNTIL 03/18/2023

03 UNITS OF NATURE CHERRY AND PINE SOAP C / 05 UNITS OF 90GR EACH

DESCRIPTION

Tododia Cherry and Hazelnut Bar Soap has a creamy formula that gently cleanses the skin, preventing dryness and leaving it soft and silky. A daily invitation to rediscover your body through touch.

Benefits:

• Ultra moisturizing formula;

• Creamy foam and soft feeling on the skin;

• Ideal for all skin types.

Content: 5 units, 90g each.",Location,New,9.0,,
356,Ekos Brown Soap 4 Units 100 G Each,24.9,,Nature,100 g,,"Descrição
Os sabonetes de Natura Ekos são feitos na saboaria natura, na amazônia, com óleos 100% vegetais. Sua espuma cremosa e abundante deixa sua pele macia e delicadamente perfumada.

Benefícios:
• Os sabonetes em barra de Natura Ekos limpam e protegem, mantendo a hidratação natural da pele.
• Castanha: Feito com óleo de castanha, que possui propriedades nutritivas. Sua fragrância é aconchegante e envolvente

4 unidades de 100 g cada
Validade: 04/2021",Location,New,89.0,4,5.0
357,Kit C / 20 Units - Ubon Eucalyptus Soap 110g,80.0,,,110 g,Bar,"description
Natural Glycerin Soap Eucalyptus 110g Ubon

Included Items:

• 20 Eucalyptus Soaps 110g

------------------------------------------------

Product description:

- The Ubon Tradição Eucalyptus soap receives eucalyptus essential oil, emollients and humectants that leave your skin soft, maintaining its natural hydration.

- It has a striking and refreshing aroma, providing a feeling of well-being and relaxation, during and after the bath.

- Dermatologically tested.

- Instructions for use: Rub the body until foam is generated and rinse. The use of sponge is recommended.

(We issue Electronic Invoice)",Localização,New,45.0,20,4.0
358,Dr. Botica Trio Apple Charming Soap Bar Soap 3x80,25.9,O Boticário,,80 g,,"description
Dear parents and guardians, At Boticário, we believe in the beauty of education and the unique relationship between parents and children, because that is what really makes children feel safe to develop values ​​such as courage, friendship and affection. We know that nothing will ever replace the building of bonds of love and security that can only be done in real life between you. What we want is for the products of the Dr. Botica line to support parents in building unique moments of interaction with their children. In the forest of fragrant flowers, where the music of the wind makes you dream, lives Dr. Botica, a magician with the power to enchant. With the help of the bird Fido, a charming friend, he prepares fragrant products with harmony and love. Dr. Botica Trio Maçã Encanto Bath Bar Soap is very foamy and has a delicious smell to leave your child's skin clean and with a pleasant feeling. With a formula tested by a pediatrician, the bar soap creates a creamy foam, as soon as it comes in contact with moist skin, which gently cleanses while perfuming. There are three units of the soap, which still comes with the design of an apple in its shape. It is a real charm!",The boticario,New,49.0,3,5.0
359,Dr. Botica Trio Apple Charming Soap Bar Soap 3x80,25.9,The boticario,,80 g,,"Descrição
Queridos pais e responsáveis, No Boticário, a gente acredita na beleza da educação e da relação única entre pais e filhos, porque é isso que realmente faz os pequenos se sentirem seguros para desenvolver valores como coragem, amizade e carinho. Sabemos que nada nunca vai substituir a construção dos laços de amor e segurança que só pode ser feita na vida real entre vocês. O que desejamos é que os produtos da linha Dr. Botica apoiem os pais na construção de momentos únicos de interação com seus filhos. Na floresta das flores perfumadas, onde a música do vento faz sonhar, vive o Dr. Botica, um mago com o poder de encantar. Com a ajuda do pássaro Fido, um amigo encantador, ele prepara produtos cheirosos com harmonia e amor. O Sabonete em Barra Dr. Botica Trio Maçã Banho de Encanto faz bastante espuma e tem um cheiro delicioso para deixar a pele do seu filho limpa e com uma sensação agradável. Com fórmula testada por pediatra, o sabonete em barra cria uma espuma cremosa, assim que entra em contato com a pele úmida, que limpa delicadamente enquanto perfuma. São três unidades do sabonete, que ainda vem com o desenho de uma maçã em seu formato. É um verdadeiro encanto!",The boticario,New,49.0,3,5.0
360,Barbatimao Natural Extract Soaps (12 Units),23.99,,,90 g,,"description
Barbatimão: Helps in the treatment of infections, bruises and skin burns. Gynecological and antiseptic healing for the body. Used for wounds and chilblains.",Location,New,25.0,,
361,Kit 2 Cetaphil Deep Cleaning Soap - 127g Each,63.6,,,127 g,,"description
Kit 2 Cetaphil Deep Cleaning Soap - 127g Each

3499320008341",Location,New,13.0,2,5.0
362,Granado Baby Vegetable Glycerin Liquid Soap 250ml,26.0,Pomegranate,of Glycerin,,,"description
The Liquid Granado Baby Glycerin Soap is indicated for sensitive skin, providing a delicate fragrance that will leave your baby's skin slightly perfumed, in addition to being hypoallergenic, minimizing the appearance of allergies.


Granado Baby Glycerin Liquid Soap


100% vegetable based glycerin without animal fat. Hypoallergenic, formulated in a way to minimize the possible appearance of allergy and does not irritate the eyes, providing a pleasant cleaning. Formula with soft and delicate perfume, suitable for sensitive skin and made exclusively to care for baby's delicate skin. Tested by dermatologists and recommended by pediatricians.",Farmadelivery,New,37.0,1,
363,Kit Glamor Secrets Black Soap Bar Natal 2019,19.9,The boticario,,160 g,,"description
The glamor soap gift kit, is the perfect option to present to everyone and not leave anyone out. This kit contains: 02 perfumed bar soaps Glamor Secrets Black - 80g each Leaves the skin soft and perfumed, giving a boost in self-esteem, with a touch of sensuality and a lot of confidence. 01 Packaging for special gift.",The boticario,Novo,26.0,2,5.0
364,Kit Glamor Secrets Black Soap Bar Natal 2019,19.9,The boticario,,160 g,,"description
The glamor soap gift kit, is the perfect option to present to everyone and not leave anyone out. This kit contains: 02 perfumed bar soaps Glamor Secrets Black - 80g each Leaves the skin soft and perfumed, giving a boost in self-esteem, with a touch of sensuality and a lot of confidence. 01 Packaging for special gift.",The boticario,New,26.0,,5.0
365,Aroeira Soap with Barbatimão - Kit with 12 Units,39.9,Bionature,,,,"Descrição
A Cosmética Hair Beleza Com Quem Entende, Apresenta.

Sabonete de Aroeira com Barbatimão.

Sabonete de Aroeira com Barbatimão, age combatendo fungos, bactérias, corrimentos, odores desagradáveis. Limpeza e cicatrização de leves ferimentos.

Contém: 12 - Unidades Sabonete de Aroeira com Barbatimão 90g",Localização,Novo,25.0,12,5.0
366,Kit 3 Sabonetes Hidratantes Allergic Center,23.0,,,,,"description
Allergic Center Moisturizing Bar Soap
With its formulation based on almond oil and apricot oil, the Allergic Center Moisturizing Soap cleans and moisturizes your skin with a soft and relaxing touch. Its composition has no fragrance and dye, it is suitable for all skin types with emphasis on very or extremely dry skin.
Kit composed of 3 Allergic Center Moisturizing Bar soaps Process nº 25351.743193 / 2010-18",Olist,Novo,59.0,,5.0
367,12 Francis Soap 90g Personal Hygiene Promotion Wholesale,22.9,,,85 g,,"description
OLS ATACADO - Wholesale company with a wide variety of quality products at a low price!

Kit With 12 Soap Francis 85g

Francis Soap in addition to perfuming has the power to protect and eliminates 99.9% of bacteria.

Its floral extracts with antibacterial properties help to keep your skin clean and protected.
Eliminates up to 99.9% of bacteria.

The Francis Bar Soap is made with floral oils from the best flowers in the world, which give rise to unique and original fragrances.
Its delicate formula provides the pleasant sensation of skin soft to the touch.

Keep out of the reach of children
Avoid eye contact
External use


Before buying, take your questions in the question field!
Shipping method.
Posting deadline from 1 to 3 business days.
We ship all over Brazil.",Location,New,11.0,12,
368,Protex Nutri Protect Vitamin E Bar Soap Kit 125g-6 Un,23.83,,,125 g,Nutri Protect,"description
Protex Nutri Protect Soap Bar Kit Vitamin E 125g with 6 units For the good health of your skin Eliminates 99, 9% of bacteria Exclusive formula with balanced pH, helps to clean and remove impurities from the skin Creates a protective barrier that helps to prevent the proliferation of bacteria Family size",Colgate-Palmolive,New,20.0,,
369,Neutrogerm Antiseptic Body Soap 0.5% 70g,23.94,,,,,"Descrição
Neutrogerm Sabonete Antisséptico ajuda a reduzir o excesso da oleosidade da pele, limpando ferimentos superficiais. Neutrogerm Sabonete contém potencial antisséptico, além de propriedades desodorantes, desobstruindo os poros e eliminando bactérias causadoras de cravos e espinhas. Indicado para pele normal e oleosa.

Neutrogerm tem como princípio ativo o triclosano, que confere ao produto elevado potencial antisséptico, além de propriedades desodorantes. Neutrogerm Sabonete Líquido Antisséptico protege ainda mais contra bactérias nocivas à saúde.

- Indicado para pessoas de pele normal a oleosa;
- Na assepsia das mãos de profissionais de saúde;
- Limpeza de ferimentos superficiais;
- Afecções cutâneas;
- Desobstrui os poros e elimina bactérias causadoras de cravos e espinhas;
- Tratamento da acne.

Modo de Uso: Aplicar sobre a pele umedecida massageando suavemente até obter espuma abundantemente, enxaguando em seguida.",Farmadelivery,New,18.0,1,
370,Palmolive Naturals Bar Soap Intensive Hydration 85g Light 6 Pay 5,10.9,,,85 g,,"description
Features and Benefits: Ingredients of 100% natural origin, providing a soothing bath, leaving the skin soft and delicately scented. Active Ingredients: Sodium palmitate, sodium oleate, sodium laurate (soap / sodium soap), aqua, parfum, citric acid, titanium dioxide (cl 77891), theobroma cacao (cocoa) seed butter, butyrospermun parkii (shea butter), pentasodiium, pentetate, etidronic acid, dossodium dis. Instructions for Use: Apply all over the body with a sponge or by hand. Then rinse.",Colgate-Palmolive,New,55.0,,
371,Green Clay Vegetable Soap 80g - Dermare Cosméticos,15.0,,,,,"description
Green Clay Vegetable Soap 80g- Dermare


The green clay soap is indicated for oily and acne-prone skin. It has an astringent, toning, stimulating, drying, bactericidal, analgesic and healing action, makes a deep cleaning, performs a natural peeling, removing excess oil from the skin. Nourishes tissues with mineral salts and absorbs solar radiation, slowing aging. Essence of Fennel.


How to use: To clean the skin, apply on the face, neck and neck in a circular motion until foam is obtained and then rinse with water.


Aut. Func. MS No.: 2.04830-0


ANVISA: 25351.299219 / 2017-21


Merely illustrative images.


Differentiated Prices in the Virtual Store.",Seiki,Novo,20.0,,
372,Sabonete Vegetal Argila Verde 80g - Dermare Cosméticos,15.0,Dermare,,80 g,,"description
Green Clay Vegetable Soap 80g- Dermare


The green clay soap is indicated for oily and acne-prone skin. It has an astringent, toning, stimulating, drying, bactericidal, analgesic and healing action, makes a deep cleaning, performs a natural peeling, removing excess oil from the skin. Nourishes tissues with mineral salts and absorbs solar radiation, slowing aging. Essence of Fennel.


How to use: To clean the skin, apply on the face, neck and neck in a circular motion until foam is obtained and then rinse with water.


Aut. Func. MS No.: 2.04830-0


ANVISA: 25351.299219 / 2017-21


Merely illustrative images.


Differentiated Prices in the Virtual Store.",Seiki,Novo,20.0,,
373,6 Sabonete Em Barra Mel E Propolis Geleia Real Glicerinado,17.99,,,90 g,,"Descrição
6 SABONETE VEGETAL GLICERINADO MEL E PROPOLIS - GELÉIA REAL 90g

A Geléia Real brasileira é rica em aminoácidos, lipídeos, vitaminas e proteínas.
Combinada com os poderes regenerativos do própolis e a elasticidade do mel criamos um blend único de cuidado completo para a pele.
Pele restaurada na sua firmeza natural.
PARA LIMPEZA E HIDRATAÇÃODE TODOS OS TIPOS DE PELE, ROSTO E CORPO!

Pronta Entrega",Location,Novo,21.0,,
374,Sabonete Extrato Natural De Própolis Com Mel (12 Unid.),23.99,BIONATURE,,,,"description
It has a moisturizing, antioxidant and exfoliating action. Therefore, it removes impurities from the skin, controls the oiliness of the skin and hair, prevents dryness. gently cleanses, leaving the skin soft and fragrant. Enriched with high concentration of natural honey extract, which has nourishing and protective actions on the skin. Indicated for daily cleaning of all skin types. Soaps, shampoos, moisturizing creams and hair masks are some of the products that have honey as their main asset.",Localização,Novo,22.0,,
375,Kit Soap 10 Gr Hotel Motel Pousada Floral Cheap,500.0,,Bouquet,10 g,,"description
Soap 10 gr Hotel Motel Pousada Fragrância Floral

Box with 2000 units

Weight Unit 10 grams
Flowpack packaging
Ideal product for Hotels, Inns, Motels, Rent on Airbnb

***IMMEDIATE DISPATCH***",Location,Novo,6.0,2000,
376,Protex Deep Cleaning Soap Bar Kit 85g With 12 Un,35.46,Protex,,85 g,Deep Cleaning,"description
Protex Deep Cleansing Bar Soap Kit 85g with 12 units HELP TO REMOVE THE OIL THAT MAY CAUSE SPINES Protex® Original Deep Cleansing takes care of the skin and face, helping to remove the oil from the skin, without drying it out. Deeply cleanses and exfoliates skin Dermatologically tested Eliminates 99.9% of bacteria *",Protex,Novo,18.0,,
377,Kit 200 Soap 20 Gr Moisturizing Luxury Pitanga Hotel Pousada,160.0,Naturys,Fruits of the Amazon,20 g,20 Grams,"description
Excellent quality and delicious aroma!

Fragrance: Pitanga

Soap: White paste;
Weight: 20 grams;
Packaging: Round Pleated

Rich in emollients that combines the nourishing and regenerating action, bringing maximum hydration to the skin.",Localização,Novo,66.0,,5.0
378,Moisturizing Soap Bar I Buy Jequiti 4x90 G,14.9,Sabonete Jequiti,I Conquer,90 g,,"description
Moisturizing Soap Bar Eu Conquisto - 4x90g
 
The Eu Conquisto Moisturizing Bar Soap forms a creamy foam that will leave your skin clean and perfumed with the delicious smell of vanilla.
Awaken the sensuality that exists within you. And never forget - Love your beauty ¿
HOW TO USE: During the bath, massage the bar soap through the body, except on the face, until it forms a creamy foam. Then just rinse. Ready! Clean and super smelling skin
Code: 10948",Jequiti,New,14.0,4,
379,Natura Ekos Soap,24.7,Nature,,90 g,,"Descrição
Sabonete sortido ekos",Location,New,19.0,4,
380,Palmolive Naturals Healthy Soap Bar Soap 85g,1.85,Palmolive,Naturals,85 g,Healthy Hydration,"description
Combination of Aloe Vera and Olive Oil, 100% natural ingredients that provide a soothing and relaxing bath. Smooth, different, exclusive, with natural ingredients to make your skin healthy Aloe vera has healing properties with regenerating action Olive oil contains vitamins A, D, K and antioxidant, emollient and hydrating properties",Colgate-Palmolive,Novo,7.0,1,5.0
381,Granado Granaderma Dermonutritivo Soap 90g,12.9,Pomegranate,,,Granaderma Dermonutritivo - Bar Soap 90g,"description
Bar soap for sensitive and dry skin. Granaderma Granaderma Dermonutritivo is ideal to gently cleanse the skin, without harming or drying out. Enriched with murumuru and shea butters, oat extract and olive oil, Granado Granaderma Dermonutritivo Bar soap tones and moisturizes the skin while cleaning. It is also hypoallergenic and dermatologically tested.",Beauty on the Web,New,22.0,,
382,Kit 10 Phebo Odor Of Roses Soap - 90g Each,39.75,Pomegranate,Vegetable Odor of Roses,90 g,,"Descrição
Kit 10 Sabonete Phebo Odor de rosas - 90g Cada

Primeira fragrância da Perfumaria Phebo, criada em 1930. Mantém a sua formula original, exótica com toque de especiarias e flores. Glicerina vegetal. Fragrâncias únicas e marcantes. Deixa a pele macia e perufmada. Livre de parabenos e ingredientes de origem animal. Conteúdo: 90g

Modo de usar: Aplique o produto sobre a pele molhada, friccionando suavemente para obter espuma. Em seguida enxágue.

Ingredientes: elaeis guineensis kernel oil, sucrose, aqua (water), tristearin, alcohol, propylene glycol, sodium hydroxide, parfum (fragrance), sodium laureth sulfate, glycerin, etidronic acid, tetrasodium edta, c.i. 16035 ( red 40), c.i. 42090 (blue1), c.i. 17200 (red 33), c.i. 19140 (yellow 5), dmdm hydantoin, cinnamal, citronellol, eugenol.",Location,New,22.0,10,4.8
383,Kit 2 Sabonete Antiacne Actine Darrow - 80g Cada,61.5,Darrow,Actin,80 g,,"description
Kit 2 Actine Darrow Antiacne Soap - 80g Each

7896290401411",Location,New,10.0,2,
384,Perfumery Phebo Neroli - Bar Soap 150g Blz,15.9,Phebo,Phebo Perfumery,,Perfumery Phebo Neroli - Bar Soap 150g,"description
100% vegetable bar soap for all skin types. Cleans and sanitizes while moisturizing the body, keeping it soft. Phebo Perfumaria Neroli Soap is ideal for daily use, because it maintains its natural vitality, does not irritate or dry out the epidermis. With a charming fragrance, Phebo Perfumaria Soap Neroli forms a delicate foam that contributes to the bath being even more pleasurable. In addition to your body being clean and hydrated, your skin radiates an enveloping citrus scent.",Beauty on the Web,New,37.0,,
385,Kit 50 Soap Francis 90g Bath Eliminates 99.9% Of Bacteria,73.9,Francis,,,Sabonete,"description
OLS ATACADO - Wholesale company with a wide variety of quality products at a low price!

Kit With 50 Soap Francis 85g Wholesale Promotion

Francis Soap in addition to perfuming has the power to protect and eliminates 99.9% of bacteria.

Its floral extracts with antibacterial properties help to keep your skin clean and protected.
Eliminates up to 99.9% of bacteria.

The Francis Bar Soap is made with floral oils from the best flowers in the world, which give rise to unique and original fragrances.
Its delicate formula provides the pleasant sensation of skin soft to the touch.

Keep out of the reach of children
Avoid eye contact
External use


Before buying, take your questions in the question field!
Shipping method.
Posting deadline from 1 to 3 business days.
We ship all over Brazil.",Localização,New,10.0,,
386,Kit With 3 Units Essential Soap Male 2 Un Each,59.9,Nature,,540 g,,"description
We are Natura Express with over 15 years of experience as a Natura consultant. We have a vast number of products delivered promptly which allows us to offer them at a different price in the market.

Original, new and sealed products!
Doubts? Ask us a question. Natura Express is at your disposal.

Your purchase is protected by Mercado Pago
Guaranteed delivery by Mercado Envios
Total security and peace of mind for your purchase. Best service ever!

***
Product description:

Natura Essential Male Soap Kit
3 Boxes of soaps - with 3 units of 90g each -> Totaling 6 soaps of 90g",Location,New,16.0,,5.0
387,Normaderm Vichy Dermatological Soap - 70g,38.95,Vichy,Dermatological,,,"Descrição
Sabonete Dermatológico Normaderm Vichy - 70g

O sabonete dermatológico normaderm limpa e purifica as peles oleosas com tendência à acne. Sua fórmula com ácido salicílico e ácido glicólico, ativos esfoliantes reconhecidos pelos dermatologistas, permite uma limpeza purificante da pele e a redução das imperfeições. Enriquecido co pidolato de zinco, ele age para limitar o excesso de oleosidade da pele.

Resultado: A pele se torna limpa e purificada, as impurezas são removidas, as imperfeições (acne, poros obstruídos, brilho excessivo) são diminuídas.

Utilização: Usar pela manhã e à noite, insistindo na testa, no nariz e maxilares. Enxágue em abundância. Pra uso externo apenas. Não usar em crianças.",Localização,New,13.0,,5.0
388,Kit 3 Sabonete Suavetex Natural Carvão Ativo Clareador 80gr,32.65,Suavetex,,,,"description
*** PLEASE NOTE: Want FREE SHIPPING ??!?!?!? ***

Add products from our store in the cart to have this benefit on purchases over 120.00



Kit 3 Suavetex Natural Soap with Particles of Active Charcoal 80gr

Suavetex Natural Soap with Activated Carbon 80g. Activated charcoal is capable of absorbing large amounts of toxins from the skin. This over-absorption and its antibacterial properties are the main reasons why activated carbon is the best ingredient to fight acne, rashes and pimples. Reduces pigmentation spots, tones the skin, leaving it looking much younger and healthier. It also has anti-aging action. Helps close pores, soften skin and restore its elasticity.

Contains organic Chamomile extract: extract with diverse properties such as emollient and soothing activity. It works by cleaning, toning, softening and restoring the balance of the skin.

Composition:

Vegetable based pasta (Sodium palmate, Sodium Palm kernelate, Sodium Stearate, Sodium Chloride, Glycerin, Sodium Hydroxide, Etidronic Acid, Aqua), Parfum, charcoal powde.


How to use:

Apply to wet skin using circular motions. Then rinse. Can be used daily.



Property:

- Does not dry out the skin;

- It has 100% vegetable based pasta;

- No alcohol;

- Without sulfates;

- Without parabens;

- Without chemical preservatives;

- No artificial colors;

- No animal testing



______________________________________________________________

We are Distributors of several brands of Excellence and Quality!

We have 100% Positive Feedback, your purchase is Secure!

WE DELIVER THROUGHOUT BRAZIL WITH IMMEDIATE SHIPPING BY MAIL!

PRODUCTS WITH INVOICE AND PROCEDURE !!!

NatuBR",Location,New,15.0,,
389,Bar Soap Cherry And Hazelnut Natura Tododia 5x90g Kit C / 3,54.9,,,90 g,,"description
ORIGINAL PRODUCT NATURA

We post in less than 24 hours!

Add more products on offer and enjoy free shipping. List of products at the link: https://eshops.mercadolivre.com.br/mauriciocosmeticos

Valid: 02/2023

About the product:


Tododia Cherry and Hazelnut Bar Soap has a creamy formula that gently cleanses the skin, preventing dryness and leaving it soft and silky. A daily invitation to rediscover your body through touch.



Benefits:

• Ultra moisturizing formula;

• Creamy foam and soft feeling on the skin;

• Ideal for all skin types.



Contents: Kit with 3 - 5 units, 90g each",Localização,Novo,7.0,5,
390,Sabonete Dei Colli Fiorentini Lavender Nesti Dante 250g,39.9,Nesti Dante,,250 g,,"description
Dei Colli Fiorentini by Nesti Dante was made with aromas of special flowers, harvested in the Florentine hills. Offers well-being and comfort for body and mind.
Dei Colli Fiorentini Lavanda is immersed in an inviting lavender landscape, fascinating in its simplicity, but with an irresistible charm.
Nesti Dante products meet international quality requirements and standards, Free of synthetic surfactants, petrochemicals, sulfates, parabens, glycols and mineral oil that are responsible for allergies, skin, hair and eye irritations. In addition, it is also a “VEGAN FRIENDLY” product (VEGAN FRIEND) not tested on animals.
Unlike ceramics and glass, it leaves no archaeological remains nor is it reproduced in frescoes and paintings. We're talking about soaps. It is perhaps for these reasons that no one has ever been able to reconstruct its history, from ancient times to the present day. Therefore, Nesti Dante is dedicated to bringing quality soaps to the consumer.",Localização,Novo,31.0,1,
